"","my.var","Reads","Phylum","Species","file","name","Sites","Fish_No","Lab Number (new)","LIMS (original tube ID)","ID #","Weight_g","Length_cm","Kfactor","Location","Long","Lat","Date of Capture","Dato uttak HI","Comments","Tail length (cm)","Gonad score","M/F","SEmptyach content","Tapeworm","Nematode","prop","ypos"
"1","47",216,"Arthropoda","Tribolium castaneum","Invertebrates/D109.xlsx","109","Site 10","F15",109,"41565","8-031-2012",3262,66,1.13462448173192,"Bugøynes",29.673126,69.987245,1900-01-01 02:06:12,0.905925926,NA,1.5,"2","M","Krill","Yes","NA",4.40456769983687,2.20228384991843
"2","66",198,"Arthropoda","Tribolium castaneum","Invertebrates/D11.xlsx","11","Site 7","F4",11,"41459","38-226-2012",3290,64,1.25503540039062,"Månes/Tosken",16.957545,69.341588,2012-07-03 00:00:00,0.591111111111111,NA,1.5,"2","M","Empty","No","No",0.153359977693094,0.0766799888465471
"3","77",150,"Arthropoda","Tribolium castaneum","Invertebrates/D110.xlsx","110","Site 10","F16",110,"41567","8-014-2012",2935,65,1.06873008648157,"Bugøynes",29.673126,69.987245,1900-01-01 02:06:12,0.905925926,NA,2.2,"2","M","Fish+Krill","Yes","NA",3.54609929078014,1.77304964539007
"4","81",632,"Arthropoda","Tribolium castaneum","Invertebrates/D111.xlsx","111","Site 10","F17",111,"41564","8-040-2012",3156,65,1.14920345926263,"Bugøynes",29.673126,69.987245,1900-01-01 03:06:12,0.905925926,NA,1.3,"1","M","Fish+Krill","Yes","NA",11.6562154186647,5.82810770933235
"5","89",490,"Arthropoda","Tribolium castaneum","Invertebrates/D112.xlsx","112","Site 10","F18",112,"41549","8-016-2012",3352,71,0.936545677556711,"Bugøynes",29.673126,69.987245,1900-01-01 02:06:12,0.905925926,NA,2.6,"1","F","Krill","Yes","NA",8.75312611647017,4.37656305823508
"6","105",686,"Arthropoda","Tribolium castaneum","Invertebrates/D113.xlsx","113","Site 10","F19",113,"41561","8-021-2012",3104,64,1.18408203125,"Bugøynes",29.673126,69.987245,1900-01-01 02:06:12,0.905925926,NA,1.6,"2","M","Fish","Yes","NA",4.00046652670865,2.00023326335433
"7","129",450,"Arthropoda","Tribolium castaneum","Invertebrates/D14.xlsx","14","Site 6","F3",14,"41434","22-019-2012",3022,65.5,1.07540130715349,"Nordkapp",26.14643,70.953424,2012-08-01 00:00:00,0.530925926,NA,2.2,"4","M","Empty","No","No",7.41595253790376,3.70797626895188
"8","211",166,"Arthropoda","Tribolium castaneum","Invertebrates/D24.xlsx","24","Site 6","F7",24,"41441","22-012-2012",3178,64,1.21231079101562,"Nordkapp",26.14643,70.953424,2012-07-19 00:00:00,0.530925926,NA,2,"4","M","Krill","Yes","No",22.3118279569892,11.1559139784946
"9","281",80,"Arthropoda","Tribolium castaneum","Invertebrates/D35.xlsx","35","Site 10","F3",35,"41552","8-046-2012",3312,69,1.00819155639572,"Bugøynes",29.673126,69.987245,1900-01-01 03:06:12,0.905925926,NA,2.2,"2","M","Krill","Yes","NA",4.02414486921529,2.01207243460765
"10","475",3900,"Arthropoda","Tribolium castaneum","Invertebrates/MG104.xlsx","104","Site 10","F14",104,"41548","8-110-2012",2161,62,0.906733577254876,"Bugøynes",29.673126,69.987245,1900-01-01 04:06:12,0.905925926,NA,1.6,"3","M","NA","NA","NA",9.91256608377389,4.95628304188695
"11","552",122,"Arthropoda","Tribolium castaneum","Invertebrates/MG99.xlsx","99","Site 10","F13",99,"41562","8-166-2012",1872,59,0.911485594924505,"Bugøynes",29.673126,69.987245,1899-12-31 03:07:12,0.905925926,NA,2.4,"3","M","Krill","Yes","NA",4.18956043956044,2.09478021978022
"12","7",800,"Nematoda","Toxocara canis","Invertebrates/D10.xlsx","10","Site 11","F2",10,"41594","31-068-2012",4216,73,1.08375726510667,"Alta",23.211147,70.002317,1899-12-31 11:07:12,1.09111111111111,NA,2.7,"2","M","Fish","Yes","No",0.295617470992536,0.147808735496268
"13","26",2702,"Nematoda","Toxocara canis","Invertebrates/D100.xlsx","100","Site 7","F27",100,"41473","38-324-2012",3062,63,1.22456978088119,"Månes/Tosken",16.957545,69.341588,2012-07-18 00:00:00,0.591111111111111,NA,2.8,"4","M","Empty","No","No",6.47557877582323,3.23778938791161
"14","100",3224,"Nematoda","Toxocara canis","Invertebrates/D113.xlsx","113","Site 10","F19",113,"41561","8-021-2012",3104,64,1.18408203125,"Bugøynes",29.673126,69.987245,1900-01-01 02:06:12,0.905925926,NA,1.6,"2","M","Fish","Yes","NA",18.801026358759,13.4009797060882
"15","109",5208,"Nematoda","Toxocara canis","Invertebrates/D114.xlsx","114","Site 10","F20",114,"41563","8-061-2012",2919,67,0.97053161459355,"Bugøynes",29.673126,69.987245,1900-01-01 03:06:12,0.905925926,NA,1.9,"2","F","Fish","Yes","NA",37.7063423110339,18.8531711555169
"16","134",128,"Nematoda","Toxocara canis","Invertebrates/D14.xlsx","14","Site 6","F3",14,"41434","22-019-2012",3022,65.5,1.07540130715349,"Nordkapp",26.14643,70.953424,2012-08-01 00:00:00,0.530925926,NA,2.2,"4","M","Empty","No","No",2.1094264996704,8.47066578773896
"17","141",354,"Nematoda","Toxocara canis","Invertebrates/D17.xlsx","17","Site 8","F5",17,"41495","81-108-2012",3446,76,0.78500874763085,"Andøya",15.619177,69.138241,2012-07-12 00:00:00,0.799444444444445,NA,3,"3","F","Empty","Yes","No",4.05684162273665,2.02842081136832
"18","147",5214,"Nematoda","Toxocara canis","Invertebrates/D18.xlsx","18","Site 10","F1",18,"41559","8-150-2012",3144,65,1.14483386436049,"Bugøynes",29.673126,69.987245,1899-12-31 03:07:12,0.905925926,NA,1.8,"3","M","Fish","Yes","NA",41.0745233968804,20.5372616984402
