samples	Location	Sub_Cluster	NWS_MAG_00001	NWS_MAG_00002	NWS_MAG_00003	NWS_MAG_00004	NWS_MAG_00005	NWS_MAG_00006	NWS_MAG_00007	NWS_MAG_00008	NWS_MAG_00009	NWS_MAG_00010	NWS_MAG_00011	NWS_MAG_00012	NWS_MAG_00013	NWS_MAG_00014	NWS_MAG_00015	NWS_MAG_00016	NWS_MAG_00017	NWS_MAG_00018	NWS_MAG_00019
D100_OUT	Moenes/Tosken	Cluster_1	0.00	0.00	0.00	0.00	0.00	379.42	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.94	0.00	45.93	0.00
D11_OUT	Moenes/Tosken	Cluster_2	0.01	0.00	0.00	9.18	0.04	1033.73	0.00	0.00	0.00	0.00	0.13	99.95	0.00	5.10	0.00	172.44	0.01	82.97	8.42
D12_OUT	Andoeya	Cluster_2	0.00	0.00	0.00	0.00	0.00	0.93	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
D14_OUT	Nordkapp	Cluster_1	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
D17_OUT	Andoeya	Cluster_2	0.00	0.00	0.00	0.00	2.30	405.91	0.03	0.55	0.00	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00
D2_OUT	Andoeya	Cluster_2	0.00	0.00	0.00	0.00	0.12	79.97	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
D24_OUT	Nordkapp	Cluster_1	0.00	0.00	0.00	0.00	0.00	0.53	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
D26_OUT	Andoeya	Cluster_2	0.01	0.96	0.00	0.00	0.04	69.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00
D27_OUT	Nordkapp	Cluster_1	0.99	0.00	0.54	0.00	0.00	99.81	0.00	0.00	0.00	0.27	0.01	11.74	0.00	0.00	0.01	0.01	0.00	0.46	0.00
D3_OUT	Andoeya	Cluster_2	0.00	0.00	0.00	0.00	0.00	0.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
D32_OUT	Alta	Cluster_1	0.00	0.00	0.00	0.00	0.00	15.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
D34_OUT	Alta	Cluster_1	0.05	0.00	0.00	0.00	0.00	30.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.91	0.00	26.87	0.00
D36_OUT	Andoeya	Cluster_2	0.00	0.00	0.00	0.00	0.02	571.05	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
D40_OUT	Bugoeynes	Cluster_1	0.41	0.00	0.10	0.00	0.73	171.09	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.13	0.00	3.91	0.00
D42_OUT	Andoeya	Cluster_2	0.00	0.00	0.00	0.00	0.00	6.28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.72	0.00
D60_OUT	Andoeya	Cluster_2	0.00	0.00	0.00	0.00	0.00	8.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
D65_OUT	Alta	Cluster_1	0.14	0.00	0.00	0.00	0.00	7.86	0.00	0.00	0.52	0.00	0.00	0.68	0.00	0.33	0.00	7.61	0.00	4.89	0.00
D7_OUT	Moenes/Tosken	Cluster_1	0.00	0.00	0.00	0.00	0.00	66.94	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.16	0.00	0.12	0.00
D71_OUT	Alta	Cluster_1	0.00	0.00	0.00	0.00	0.02	33.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00
D85_OUT	Alta	Cluster_1	0.00	0.00	0.02	0.00	0.00	570.56	0.00	0.00	3.91	0.00	0.00	0.03	0.00	0.00	0.00	0.05	0.00	0.97	0.00
D87_OUT	Alta	Cluster_1	0	0	0.295023755	0	0.03800247	352.9522442	0	0	0	0	0.002004944	1.250723472	0	9.18E-05	0	15.61425147	0	28.41193204	9.35E-05
D88_OUT	Moenes/Tosken	Cluster_1	0.00	0.00	0.00	0.00	0.00	136.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
D92_OUT	Moenes/Tosken	Cluster_2	0.00	0.00	0.00	0.00	0.00	39.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	2.72	0.00
MG38_OUT	Alta	Cluster_1	0.00	0.00	0.00	0.00	0.00	1.21	0.00	1.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.06	0.00
