corresponding_gene_call	D100_OUT	D11_OUT	D17_OUT	D26_OUT	D27_OUT	D2_OUT	D32_OUT	D34_OUT	D36_OUT	D40_OUT	D42_OUT	D60_OUT	D65_OUT	D71_OUT	D7_OUT	D85_OUT	D87_OUT	D88_OUT	D92_OUT
22282		2.3364052397030073	0.27167329327547857	0.16330734877973477		0.30330503898846073			0.5558920501335284								0.12953094239063254		0.24736809861159614
22283																			
22284																			
22285		0.05225594307875476	0.009573985463304702	0.06820910023808663		0.04214272899839063	0.08188267882153949	0.0016808296879747414	0.05028879562837044								0.11257359034115129		0.06571085435404266
22286		0.039402473555947476	0.16984281592578807	0.25735101389202836		0.08072730476314731	0.258154573873177	0.011895039414417557	0.056355871122492414							2.271333543344281	0.04156480101123532		0.060184651244943425
22287		0.608735437307861	0.6127997726771011	0.05117461791374355		0.39732877240563036			0.38369159458029384								0.2082937168225887		0.7671131587910299
22288									0.03654566958657133								0.47286269065618636		
22289																	0.11975915952848111		
22290																			
22291									0.0022523039652250294								0.04273630885157091		
22292		0.05002965952402233	0.028217072430360424	0.2572908697384742		0.04662107061049362			0.12618804546373805								0.12259393379467852		0.07443150355565574
22293						0.17317754192845555			0.2023198382254218								0.13251422102328378		
22294		0.08004573720963223				0.07771999732946036			0.11411732324855564										
22295																			
22296						0.20314886366357376			0.3613521177276717								0.0656211442827415		0.05116767771880867
22297									0.02147370725258431								0.19399123199923554		
22298																			
51997	0.58383144707611	0.11635881203925455	0.36831796187530164	0.22636746880026948	0.5565163436105719	0.191414495921694			0.1427126911138041	0.44421491450369							0.14844391020908632		0.27408143322419337
51998		0.28691629272477753	0.23514300989505504			0.6398903795749064			0.12526206173552754								0.12598981811155233		0.4246925685229932
51999	16.98975563018203	0.207143415214964	0.2745691991110103	1.5547688825062782		0.22081491411217172	0.17759772153822034	0.07298019752617321	0.15797285505764602						7.019860792278659		0.2804390310996798		0.22862742692532645
52000																			
52001		0.07872671500204577	0.0769080008253944	0.07415897964720182		0.06158739942312716			0.06655669799723246								0.2110008748116473		0.011422030339208336
52002		0.20359911798367508	0.03367460521990803			0.12955108908789337			0.20378714481936636								0.04964134938035665		0.14401532192480576
52003		0.3251100189636796	0.4147521488363427	0.27795712015426627		0.3697505450262649	0.37406018828091425	0.3803032509816056	0.34317440829668655								0.919130153938696		
52004																			
52005		0.0803511651034204	0.051756413084484545	0.16949982123411889		0.1292180993629882	0.6566126684508501	0.049213227094054145	0.14956183640740775								0.17759018557546274		0.1914660139208628
52006																			
52007									0.0466852396930936	17.026190143530535			0.2821810129452881	inf					
