corresponding_gene_call	D100_OUT	D11_OUT	D17_OUT	D26_OUT	D27_OUT	D2_OUT	D32_OUT	D34_OUT	D36_OUT	D40_OUT	D42_OUT	D60_OUT	D65_OUT	D71_OUT	D7_OUT	D85_OUT	D87_OUT	D88_OUT	D92_OUT
22282		0.0005027004412490365	0.0006287357210194869	0.0018306924607785914		0.004688313282672358			0.0005521230000139238								0.011168907673884865		0.009774152567455048
22283																			
22284																			
22285		0.006496365563304877	0.003329403083159237	0.0022141466567584945		0.006916408886701954	0.0037636940441736167	0.0024764683291813487	0.006168768082448962								0.005510983838186482		0.010560518234246996
22286		0.008040968436168874	0.0032741215316455735	0.0012298689480384102		0.006763585512221195	0.003952644474915403	0.0020446796480463594	0.005855226883282551							0.00014122058124941533	0.008909360625101862		0.014679926089946978
22287		0.004687737400257	0.002654721547629905	0.003717120785833062		0.006742324617024719			0.007009178034207489								0.010379718510038022		0.004847910592808586
22288									0.009056639877535428								0.0040290951232531316		
22289																	0.01294468735674928		
22290																			
22291									0.009092416463164835								0.007303121704925751		
22292		0.004404193798544713	0.0026056051682482734	0.0017388018529640938		0.004828619335336597			0.004716628883719697								0.005884678003172488		0.005162222836841354
22293						0.005814736303858959			0.007312505195083911								0.010615374286696047		
22294		0.0073977977294711825				0.008417018350773367			0.0071205125922551345										
22295																			
22296						0.004722956376245717			0.004795736280224679								0.008084299026381435		0.006782633829160479
22297									0.012036654010913254								0.011745025524341906		
22298																			
51997	0.0004584412995814216	0.01592578642528863	0.0029049311367270927	0.0012701105947879364	0.00042052144659377485	0.00754756392639817			0.016483563583648435	0.00037047591906525955							0.011624498600478782		0.010040852942459003
51998		0.0037796675152251213	0.0029465362803779054			0.0016402603379133463			0.003185415567162988								0.014695869651010926		0.005064548162859962
51999	6.086057274441977e-05	0.006608419479024373	0.005294829550369842	0.0008767367579071648		0.012439168499427455	0.020151992834266108	0.012869886672027564	0.006806879607042519						0.00022244245998385553		0.011504260751864712		0.017501960464220347
52000																			
52001		0.006899368290243082	0.007297806155929571	0.006458191530468108		0.010030076765363641			0.010870465524328007								0.0053046423559479795		0.005978462532750609
52002		0.004079874024392742	0.009271474709366175			0.004637557978085672			0.004385675891610633								0.009833842480164324		0.008374550747432059
52003		0.010513561596397221	0.007099576876738133	0.01563847544860204		0.010033280920229589	0.011665425663936468	0.007249712313003456	0.010074337338631268								0.0024610887613868166		
52004																			
52005		0.023396766920664693	0.009186858707714223	0.01731772190195389		0.019671959771939265	0.00711836277948495	0.006373150866339459	0.020668902437175885								0.019899708669312805		0.027330494422118174
52006																			
52007									0.014556194866240196	0.00021083548183966513			0.027477064220183502	0.0					
52008		0.0045769293301325615							0.004071251603817236								0.004557892240540091		
52009		0.007501527598663654	0.017786446615336696			0.013056517310942109			0.009360808372928166								0.00664933564042058		0.009153438205874075
52010		0.005730390530904705	0.0049799085821792734	0.01902500845266523		0.016233630356868728			0.019958547643139007								0.00485022561368363		0.007550606156555427
52011																			
52012		0.007055556845846925	0.0016323732484667852	0.005481510987311771		0.0071657182058634415		0.0021722740552257364	0.00463509782686014								0.006803037253407388		0.0016508279232552684
52013		0.017725092054669687	0.00808003536715295	0.015132186525462419		0.015394923806263259		0.00567907444358343	0.009440490118447172								0.0018185346780677009		0.010782286777981986
52014		0.026548334087474867	0.016067869693170263	0.024779479526238515		0.022651066106025432			0.011720578469093733								0.00972766309702837		0.007303468316160053
52015		0.03071908424742939		0.0032643131268547585					0.01736529101518127						0.001369891140854872				
52016		0.012973014012417659	0.00287440280357763	0.0027233832598772853		0.004863782566912357		0.004075821760876685	0.006984306676714012								0.007869824463922159		0.004926461378060069
52017		0.04498644997836142	0.00815478821551306	0.00799135948236599		0.009557268664688957	0.0047770603814673105	0.004142603262288618	0.015378693566876137								0.012109405866899783		0.009550851046672863
52018		0.044705519497951075		0.01677567852327953		0.022279593408557383			0.03296742684856357								0.047444668777121175		0.020050731833771193
52019		0.02640881120821645																	
52020		0.016380649167017466							0.026813471532540708										
71429																			
71430		0.010374377607951875	0.007505087341853167	0.01392467053583397		0.01556963758174253		0.00247120474666438	0.024828790519816017			0.002055850973173854					0.005258843003626339		0.007369891170833337
71431		0.009386672922964868				0.00971509417569169			0.03609277076615911										0.017752590266875944
71432		0.012491764040314397	0.009996244671122043	0.005798007879819811		0.01461702389165228			0.023317995990931675								0.012092571972217617		
71433		0.007325715080735111	0.005504355649546842			0.011594309776242786			0.022868818956742743								0.008635203542194438		0.005253273948267497
71434		0.0063585768000032315				0.006147358357234925			0.0042442669932627125								0.0063715043904665775		
71435		0.00994302759100731				0.009665666446477022			0.0186511686677797										
71436						0.010861334703954931			0.01091967009753587								0.004739179439470496		
71437		0.014309035084563194		0.011202412200869897		0.01794840942302304			0.024890291797809515								0.012159259883804596		0.009031293143120149
71438		0.03553998893488324																	
74891		0.006028890729676741				0.006086637376635843			0.017414174146597235										
74892		0.01441837140542469	0.015186091294107742	0.010845419507774774		0.006560556512040233			0.02285411520810513										0.013059942976186088
74893		0.011202651009668833		0.01033925070786761		0.01575897691552073			0.026017689965928875								0.006851939190335378		0.013408565972975055
74894				0.003846695729968863		0.007386157554783577			0.020235565651792922								0.009783325942329278		
74895									0.009456505552308408										
74896									0.010020375060557203										
74897									0.008101262598177571								0.008489455094335727		
74898		0.006124877935677585	0.006599533769333905			0.009264728831183204			0.032250962536826674								0.007146880666349932		0.006178221189274946
74899		0.012926678619920952		0.008806229229823555		0.019615892439245455			0.01809825974254401								0.004257956455530461		0.010142547846636514
74900	0.015333609003849821	0.0011422626453301277	0.011846279724848056	0.00506599739728573	0.012423312883435558	0.01029300454147078				0.011082609688839937					0.009123373650431595				0.006326687116564404
87484																			
87485	0.0022281622436757928	0.011729557981038863	0.007504837061780582	0.008158680254400762	0.0027328229421716556	0.013657363610770343	0.001442896147616654	0.0012347893618516125	0.026767452003641095	0.002282620237028773	0.0013805372709481862	0.0012625254435855585		0.0011703867570454455	0.002492453481177887	0.0034561793474328782	0.011730973202506373	0.0033923995229149955	0.011957588314290807
113732		0.016778641046929013		0.010078200139447026		0.012869704207437676	0.013430816625258038		0.03029036450017056								0.011130608213301035		0.010929388088626864
113733									0.009633449594130391								0.01011068295248295		
113734		0.007721130675931705				0.00646264215177155	0.009156630589589427		0.017923360758677162								0.004697864694953922		0.009291211722858565
113735		0.004795003994409593				0.0037972346026018964			0.007305371702628042										
113736									0.014622354067364224								0.01572846383821309		
113738																			
113739																			
113740																			
113741		0.012821577038132146	0.0014956963237824812			0.010595699125839828			0.01878291740621729										0.017037193166740267
113742									0.009289309212635535										
129051		0.012153107069583727	0.005852975522268547	0.006087355644728479		0.002477681659687677			0.010715551754054042								0.012999705715582144		0.006285596388798485
129052		0.004910379352759336		0.008356485058031715		0.001984887274433464	0.002318691946351545		0.005013416597126744								0.010540711915135826		0.0026893685516064837
