"","PC1","PC2","names","Clusters","Sample","Location","Latitude","Longditude","Region","Data","Sub_Cluster"
"D100",-0.108919239057187,0.270929997166689,"D100","Cluster 1","D100","Moenes/Tosken",NA,NA,"Unknown","Rasmussen","Cluster 1"
"D11",0.0824719353726396,-0.0952355016144509,"D11","Cluster 1","D11","Moenes/Tosken",NA,NA,"Unknown","Rasmussen","Cluster 2"
"D12",0.0697769683975894,-0.108098046419768,"D12","Cluster 1","D12","Andoeya",NA,NA,"Unknown","Rasmussen","Cluster 2"
"D14",-0.137359862785738,0.274904756810484,"D14","Cluster 1","D14","Nordkapp",NA,NA,"Unknown","Rasmussen","Cluster 1"
"D17",0.0552973133739641,-0.105033111783756,"D17","Cluster 1","D17","Andoeya",NA,NA,"Unknown","Rasmussen","Cluster 2"
"D24",-0.137043888080818,0.270351007012289,"D24","Cluster 1","D24","Nordkapp",NA,NA,"Unknown","Rasmussen","Cluster 1"
"D26",0.019325594850649,-0.0129839366292805,"D26","Cluster 1","D26","Andoeya",NA,NA,"Unknown","Rasmussen","Cluster 2"
"D27",-0.129231992011014,0.273984438694794,"D27","Cluster 1","D27","Nordkapp",NA,NA,"Unknown","Rasmussen","Cluster 1"
"D2",0.0749054322988914,-0.106910298880661,"D2","Cluster 1","D2","Andoeya",NA,NA,"Unknown","Rasmussen","Cluster 2"
"D32",-0.147853279458558,0.256241580868257,"D32","Cluster 1","D32","Alta",NA,NA,"Unknown","Rasmussen","Cluster 1"
"D34",-0.110182733524474,0.270536040733851,"D34","Cluster 1","D34","Alta",NA,NA,"Unknown","Rasmussen","Cluster 1"
"D36",0.0895740294733101,-0.105886435548027,"D36","Cluster 1","D36","Andoeya",NA,NA,"Unknown","Rasmussen","Cluster 2"
"D3",0.0390694329957506,-0.0626829967282927,"D3","Cluster 1","D3","Andoeya",NA,NA,"Unknown","Rasmussen","Cluster 2"
"D40",-0.115488701212469,0.241492249242169,"D40","Cluster 1","D40","Bugoeynes",NA,NA,"Unknown","Rasmussen","Cluster 1"
"D42",0.0663579490064898,-0.0894466548152744,"D42","Cluster 1","D42","Andoeya",NA,NA,"Unknown","Rasmussen","Cluster 2"
"D60",0.0762399736916336,-0.0908828339852727,"D60","Cluster 1","D60","Andoeya",NA,NA,"Unknown","Rasmussen","Cluster 2"
"D65",-0.11922029652458,0.261426181174145,"D65","Cluster 1","D65","Alta",NA,NA,"Unknown","Rasmussen","Cluster 1"
"D71",-0.0912728426382649,0.243931659562636,"D71","Cluster 1","D71","Alta",NA,NA,"Unknown","Rasmussen","Cluster 1"
"D7",-0.168289284066491,0.241728965837926,"D7","Cluster 1","D7","Moenes/Tosken",NA,NA,"Unknown","Rasmussen","Cluster 1"
"D85",-0.110626447853043,0.268200048333706,"D85","Cluster 1","D85","Alta",NA,NA,"Unknown","Rasmussen","Cluster 1"
"D87",-0.0739058235764954,0.177342183877476,"D87","Cluster 1","D87","Alta",NA,NA,"Unknown","Rasmussen","Cluster 1"
"D88",-0.0957090757264829,0.236403620666284,"D88","Cluster 1","D88","Moenes/Tosken",NA,NA,"Unknown","Rasmussen","Cluster 1"
"D92",0.0734134266518797,-0.0933440396465075,"D92","Cluster 1","D92","Moenes/Tosken",NA,NA,"Unknown","Rasmussen","Cluster 2"
"MG38",-0.0432645571319226,0.122535148602582,"MG38","Cluster 1","MG38","Alta",NA,NA,"Unknown","Rasmussen","Cluster 1"
