names,Clusters
D100,Cluster 1
D109,Cluster 2
D10,Cluster 1
D110,Cluster 1
D111,Cluster 2
D112,Cluster 2
D113,Cluster 2
D114,Cluster 3
D11,Cluster 1
D12,Cluster 1
D13,Cluster 1
D14,Cluster 2
D15,Cluster 1
D16,Cluster 1
D17,Cluster 1
D18,Cluster 3
D20,Cluster 1
D21,Cluster 1
D22,Cluster 1
D23,Cluster 1
D24,Cluster 1
D26,Cluster 1
D27,Cluster 2
D2,Cluster 1
D30,Cluster 1
D31,Cluster 2
D32,Cluster 1
D33,Cluster 1
D34,Cluster 1
D35,Cluster 1
D36,Cluster 1
D37,Cluster 2
D3,Cluster 1
D40,Cluster 2
D42,Cluster 1
D44,Cluster 1
D45,Cluster 2
D46,Cluster 1
D47,Cluster 2
D4,Cluster 1
D51,Cluster 2
D53,Cluster 1
D54,Cluster 2
D55,Cluster 1
D60,Cluster 1
D64,Cluster 1
D65,Cluster 1
D69,Cluster 1
D70,Cluster 1
D71,Cluster 1
D73,Cluster 1
D75,Cluster 3
D77,Cluster 2
D79,Cluster 1
D7,Cluster 1
D81,Cluster 1
D82,Cluster 2
D83,Cluster 1
D84,Cluster 1
D85,Cluster 1
D87,Cluster 2
D88,Cluster 1
D8,Cluster 1
D90,Cluster 2
D92,Cluster 1
D93,Cluster 1
D97,Cluster 1
D9,Cluster 1
MG104,Cluster 2
MG38,Cluster 1
MG41,Cluster 1
MG48,Cluster 1
MG54,Cluster 2
MG59,Cluster 1
MG98,Cluster 1
MG99,Cluster 2
