Sample	Location	Latitude	Longditude	Region	Data
Alta_12_0038	Alta	69.968	23.375	North	Bertolotti
Alta_12_0111	Alta	69.968	23.375	North	Bertolotti
Alta_12_0135	Alta	69.968	23.375	North	Bertolotti
Arga_12_0015	Aargaardsvassdraget	64.312	11.223	South	Bertolotti
Arga_12_0121	Aargaardsvassdraget	64.312	11.223	South	Bertolotti
Arga_15_0031	Aargaardsvassdraget	64.312	11.223	South	Bertolotti
Arga_15_0201	Aargaardsvassdraget	64.312	11.223	South	Bertolotti
Aroy_12_0084	Aaroey	61.268	7.1671	South	Bertolotti
Aroy_15_0180	Aaroey	61.268	7.1671	South	Bertolotti
Aroy_15_0182	Aaroey	61.268	7.1671	South	Bertolotti
Beia_12_0009	Beiarvassdraget 	67.028	14.579	South	Bertolotti
Beia_12_0281	Beiarvassdraget 	67.028	14.579	South	Bertolotti
Bors_11_0008	Brselva_i_Porsanger	70.312	25.539	North	Bertolotti
Dale_12_0065	Daleelva_(Hoeyanger)	61.219	6.0748	South	Bertolotti
Driv_12_0056	Driva	62.676064	8.550612	South	Bertolotti
Driv_12_0089	Driva	62.676064	8.550612	South	Bertolotti
Driv_12_0100	Driva	62.676064	8.550612	South	Bertolotti
Eidf_12_0071	Eidfjordvassdraget	60.466	7.0718	South	Bertolotti
Eira_14_48075	Eira	62.678	8.1196	South	Bertolotti
Eira_14_48117	Eira	62.678	8.1196	South	Bertolotti
Eira_14_48228	Eira	62.678	8.1196	South	Bertolotti
Elve_12_0011	Elvegaardselva_(Bjerkvik)	68.546	17.562	South	Bertolotti
Enni_12_0008	Enningdalselva	58.981	11.474	South	Bertolotti
Enni_12_0051	Enningdalselva	58.981	11.474	South	Bertolotti
Flam-15_0008	Flaamselva	60.8651	7.1186	South	Bertolotti
Flek_11_0132	Flekkeelva	61.31	5.3445	South	Bertolotti
Flek_11_0244	Flekkeelva	61.31	5.3445	South	Bertolotti
Fors_12_0038	Forsaavassdraget	68.151	16.116	South	Bertolotti
GauST_13_0058	Gaula_i_Soer-Troendelag	63.341	10.236	South	Bertolotti
GauST_13_0075	Gaula_i_Soer-Troendelag	63.341	10.236	South	Bertolotti
GauST_14_6099	Gaula_i_Soer-Troendelag	63.341	10.236	South	Bertolotti
Glop_11_0001	Gloppenelva	61.768	6.2	South	Bertolotti
Glop_11_0216	Gloppenelva	61.768	6.2	South	Bertolotti
Homl_12_0001	Homla	63.413	10.804	South	Bertolotti
Homl_12_0002	Homla	63.413	10.804	South	Bertolotti
Homl_12_0003	Homla	63.413	10.804	South	Bertolotti
Jols_15_0663	Joelstra	61.455	5.8434	South	Bertolotti
Jols_15_36274	Joelstra	61.455	5.8434	South	Bertolotti
Jols_15_36277	Joelstra	61.455	5.8434	South	Bertolotti
Keret_A12	Keret	66.021367	32.787895	White sea	Bertolotti
Keret_B12	Keret	66.021367	32.787895	White sea	Bertolotti
Keret_H11	Keret	66.021367	32.787895	White sea	Bertolotti
Koma_06_0007	Komagelva	70.242	30.522	North	Bertolotti
Koma_06_0009	Komagelva	70.242	30.522	North	Bertolotti
Koma_06_0010	Komagelva	70.242	30.522	North	Bertolotti
Laer_07_0016	Laerdalselva	61.102	7.4725	South	Bertolotti
Lakj_03_0009	Tana-Laksjohka	70.059	27.562	North	Bertolotti
Lakj_10_0318	Tana-Laksjohka	70.059	27.562	North	Bertolotti
Laks_12_0006	Lakselva_i_Porsanger	70.078	24.927	North	Bertolotti
Laks_12_0106	Lakselva_i_Porsanger	70.078	24.927	North	Bertolotti
LanG_12_0012	Langfjordvassdraget	70.669135	27.839054	North	Bertolotti
LanG_12_0025	Langfjordvassdraget	70.669135	27.839054	North	Bertolotti
LanG_12_0028	Langfjordvassdraget	70.669135	27.839054	North	Bertolotti
Lauk_13_0013	Laukhellevassdraget_(Lakselva_fra_Trollbuvatnet)	69.227	17.849	North	Bertolotti
Lauk_13_0016	Laukhellevassdraget_(Lakselva_fra_Trollbuvatnet)	69.227	17.849	North	Bertolotti
Lauk_13_0017	Laukhellevassdraget_(Lakselva_fra_Trollbuvatnet)	69.227	17.849	North	Bertolotti
Lone_12_0023	Loneelva_i_Osteroey	60.52	5.5011	South	Bertolotti
Mals_11_0025	Maalselvvassdraget	69.264	18.51	North	Bertolotti
Mals_12_0020	Maalselvvassdraget	69.264	18.51	North	Bertolotti
Mals_12_0022	Maalselvvassdraget	69.264	18.51	North	Bertolotti
Mask_06_0199	Tana-Maskejohka	70.285	28.163	North	Bertolotti
Mask_06_0200	Tana-Maskejohka	70.285	28.163	North	Bertolotti
Nams_12_0049	Namsen_(hele_vassdraget)	64.464	11.682	South	Bertolotti
Nams_12_0267	Namsen_(hele_vassdraget)	64.464	11.682	South	Bertolotti
Nams_15_405	Namsen_(hele_vassdraget)	64.464	11.682	South	Bertolotti
Nams_15_494	Namsen_(hele_vassdraget)	64.464	11.682	South	Bertolotti
Naus_12_0016	Nausta	61.506	5.7197	South	Bertolotti
Naus_12_0038	Nausta	61.506	5.7197	South	Bertolotti
Naus_12_0041	Nausta	61.506	5.7197	South	Bertolotti
Neid_13_1181	Neiden	69.701425	29.525231	North	Bertolotti
Neid_13_2888	Neiden	69.701425	29.525231	North	Bertolotti
Neid_13_2899	Neiden	69.701425	29.525231	North	Bertolotti
Nume_12_0015	Numedalslaagen	59.06	10.071	South	Bertolotti
Nume_12_0043	Numedalslaagen	59.06	10.071	South	Bertolotti
Nume_12_0051	Numedalslaagen	59.06	10.071	South	Bertolotti
Orkl_12_0804	Orkla	63.306627	9.82683	South	Bertolotti
Orkl_12_0885	Orkla	63.306627	9.82683	South	Bertolotti
Orkl_12_0899	Orkla	63.306627	9.82683	South	Bertolotti
Osel_11_0055	Oselva_i_Os	60.186	5.4723	South	Bertolotti
Osen_10_0003	Oselvvassdraget_(Osen)	61.550626	5.413458	South	Bertolotti
Osen_10_0015	Oselvvassdraget_(Osen)	61.550626	5.413458	South	Bertolotti
Osen_10_0017	Oselvvassdraget_(Osen)	61.550626	5.413458	South	Bertolotti
Reip_11_0010	Reipaaga	66.908	13.632	South	Bertolotti
Reip_11_0011	Reipaaga	66.908	13.632	South	Bertolotti
Reip_11_0012	Reipaaga	66.908	13.632	South	Bertolotti
Repp_12_0010	Repparfjordelva	70.445	24.328	North	Bertolotti
Repp_12_0011	Repparfjordelva	70.445	24.328	North	Bertolotti
