"D100"	"D11"	"D17"	"D26"	"D27"	"D2"	"D32"	"D34"	"D36"	"D40"	"D42"	"D60"	"D65"	"D71"	"D7"	"D85"	"D87"	"D88"	"D92"
"51999"	16.989755630182	0.207143415214964	0.27456919911101	1.55476888250628	0	0.220814914112172	0.17759772153822	0.0729801975261732	0.157972855057646	0	0	0	0	0	7.01986079227866	0	0.28043903109968	0	0.228627426925326
"52007"	0	0	0	0	0	0	0	0	0.0466852396930936	17.0261901435305	0	0	0.282181012945288	0	0	0	0	0	0
"250476"	5.21092827418	0.31877548585812	0.263513869453626	0.119321337004686	2.86075127749652	0.135681575778057	0.271358477958917	0.484087380953746	0.108735196167208	1.06622872058038	0	0	0	0	5.52264608067497	25.8664759116295	0.103631392247635	2.02140077834183	0.0873580692414888
"261793"	0	0.705312438040901	92.684567352924	0	0	1.70909919379318	0	0	2.63718119587928	0	0	0	0	0	0	0	1.47142805498994	0	1.24179555964729
"262340"	0	0.249134891096912	0.215431833922559	0.902846714869635	13.2380287069026	0.154949325624739	0	0	0.30559259595152	13.2907220545846	0	0	0.465235878092841	0.473413061061858	6.25411357316085	0	0.788711180093156	0	0.255648274016411
"300975"	27.7084610253619	0.625260989531686	0.179570826430261	0	26.6624928896558	0.386580252059112	0	0	0.238990575763014	28.9739911488427	0	0	0	0.154842464149985	0	0	0.407114966830615	0	0.273501282266425
"451863"	0	0.118954414397351	0	0.316380485487656	0	0.11588546333871	0	0	0.130395496888948	0	0	0	0	0	9.78544855281438	0	0.0364600456256157	0	0
"451880"	11.4949384501553	0.161634082262265	0.0378611470026827	0.142550728160359	0.102835776984483	0.0457526997170174	0.278882778944625	0.0216200633151245	0.0849979376514077	0	0	0	0	0.0584879254096723	9.82207635672242	2.81988890436525	0.180911279027933	1.76573793711584	0.075355136634758
"748543"	0	14.8346568451022	7.48145374409458	35.7333151967176	0	15.24947826333	0	10.7078971430217	78.1877886700815	0	0	0	0	0	0	0	2.43783374910428	0	49.6382732032095
"748545"	27.8744925038331	7.24790944721456	131.016413949223	4.2966660567361	51.9218180066593	0	0	0	0.834586438828005	21.1434243051422	0	0	0	0	22.9889383015732	82.4959062788626	0	56.52452078314	4.72633343773807
"929210"	6.48582805820865	1.12170354952175	4.23064445716395	12.3989109465974	4.73401296566528	0.687202689395116	0	5.63356125921857	1.75052521049684	0	0	0	0	0	54.106806396638	0	0.531925128340371	0.485429188155493	0.307720355002766
"1004518"	0	4.81055076873762	2.64668999973574	130.933625828633	0	3.1551018082918	0	3.17287795779585	4.10839990316072	0	0	0	0	0	0	0	10.876582664203	0	2.62128738532733
"1215298"	0	0.478092970684305	8.94959173576956	0.480791048539412	0	0.476645720167915	0	0.652094232633344	0.390485398391413	0	0	0	0	0	0	0	0.518021500787787	0	0.457459368625104
"1352390"	1.43052980179221	1.01666087406015	0.204282063104727	0.487466999550005	1.57493945692424	0.343217196584741	0	0.0786001674407884	0.238313204076029	10.3234435649551	0	0	0	0.10797924688314	2.01297184225527	0.0667859386106868	0.151166151422492	0.953940391718956	0.59696859129175
"1366055"	3.83511894815347	1.44333758642602	2.67309145586818	2.11590873502335	5.39144480995825	2.53869030316696	0	6.66932112811062	1.82545772321208	0	0	0	0	0	3.97815814131936	0	376.886197010777	0	1.86401999065656
"1366062"	0	0.374795260680635	0.535809060860885	0	0	0.517126637608764	0	0	0.265334812305032	0	0	0	0	0	0	10.1556013445455	323.144605003064	0	0.264451188347079
"1371996"	0	0.264798572600303	75.3025095377057	48.1884345811205	0	3.02288950485216	0	0	2.01375070618952	0	0	0	0	0	0	0	0.253786598349656	0	1.76390444477272
"1409095"	0	2.37066477669271	1.48824808542073	7.24289360125234	0	1.36803827051703	0.629311459084961	1.64372123774873	1.42448298945084	0.93287684970975	0	0	0	0.586900716000862	0	0	0.935010074359061	0	1.18102402280638
"1409096"	0	532.6326822723	0	0	0	136.131911061971	0	0	668.702052033683	0	0	0	0	0	0	0	0.299724784077872	0	0
"1430146"	75.7095269766189	0.787962658088204	0.289709558337638	0.152129441523768	0	0.25744266303424	0	0	0.629277780235568	0	0	0	0	0	7.86069936121704	0	0.584414844268092	0	0.251112364612595
"1592615"	0	4.09838432741062	6.76119719093206	3.31556922112543	0	3.87688104521778	0	2.10283103238666	3.07294153109877	0	0	0	0	0	0	0	0	0	0
"1794737"	0	0.975737265327938	6.39537817960296	0	0	0.172777376688743	0	0	0.759878836909251	0	0	0	0	0	0	0	0.310255728120197	0	0.164265828928691
"1802427"	4.58871680594844	0.0983395142769107	0.0455657495185447	0.0905958662276067	0	0.107509544120631	0.829770665347808	0.195472362773685	0.0934065457287163	0	0	0	0	1.20185131631632	0	21.2761309663919	0.231850116369266	8.12355962287525	0.150083726918625
"1847192"	0	95.493055425437	60.2287417869718	12.3796586865599	3.63742260637628	0	0	65.6196400604011	169.428519657686	0	0	0	0	0	0	0	0	0	0
"1851584"	81.6798885735392	0.255944606072653	0.0856558976134531	0.180450003056229	13.3846858575839	0.0129851422212822	0.112256116172556	0.0405497734665522	0.0418292944063108	0	0	0	0	0	0	0	0.215251497093351	0	0.0558529821840333
