contig	D100_OUT	D11_OUT	D17_OUT	D26_OUT	D27_OUT	D2_OUT	D32_OUT	D34_OUT	D36_OUT	D40_OUT	D42_OUT	D60_OUT	D65_OUT	D71_OUT	D7_OUT	D85_OUT	D87_OUT	D88_OUT	D92_OUT
p_00000001	0.0	0.0	0.0	0.29411764705882354	0.0	0.0	0.0	0.0	0.39784301977231873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000004	0.0	0.0	0.0	0.0	0.0	0.5026455026455027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000005	0.0	0.4892433234421365	0.0	0.0	0.0	0.3524590163934426	0.25	0.0	0.4813591316658801	0.0	0.0	0.0	0.0	0.0	0.0	0.4336963484945548	0.0	0.0	0.4044943820224719
p_00000006	0.0	0.3689286944540131	0.0	0.0	0.0	0.3125	0.0	0.0	0.3855809462504023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27380952380952384
p_00000011	0.0	0.0	0.3707482993197279	0.4628099173553719	0.0	0.0	0.0	0.4117647058823529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000014	0.0	0.0	0.27941176470588236	0.0	0.0	0.0	0.0	0.4782608695652174	0.2722914669223394	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000015	0.0	0.0	0.0	0.3025210084033613	0.0	0.0	0.0	0.0	0.40877914951989025	0.0	0.0	0.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000017	0.0	0.3995967741935484	0.0	0.4383561643835616	0.0	0.2976190476190476	0.0	0.0	0.4989406779661017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3150684931506849
p_00000018	0.0	0.4259082217973231	0.0	0.0	0.0	0.25688073394495414	0.0	0.0	0.43740095087163233	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.2982456140350877
p_00000019	0.0	0.3036082474226804	0.0	0.0	0.0	0.4	0.0	0.0	0.2948021722265322	0.0	0.0	0.4375	0.0	0.0	0.0	0.0	0.0	0.0	0.33766233766233766
p_00000021	0.0	0.3169129720853859	0.0	0.0	0.0	0.45714285714285713	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000022	0.0	0.38963730569948185	0.0	0.0	0.0	0.0	0.0	0.0	0.28402366863905326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000024	0.0	0.0	0.0	0.0	0.0	0.4251968503937008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000025	0.0	0.0	0.0	0.0	0.0	0.36885245901639346	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000026	0.0	0.0	0.0	0.0	0.0	0.4772727272727273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000027	0.0	0.3466204506065858	0.0	0.0	0.0	0.0	0.0	0.0	0.4474885844748858	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000028	0.0	0.47231584015406836	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000029	0.0	0.42218717139852785	0.0	0.0	0.0	0.3416666666666667	0.0	0.0	0.4862604540023895	0.0	0.0	0.2857142857142857	0.0	0.0	0.0	0.0	0.0	0.0	0.3050847457627119
p_00000034	0.4316546762589928	0.3383436486884763	0.47414880201765447	0.46153846153846156	0.4830508474576271	0.45751633986928103	0.0	0.34375	0.32848392036753443	0.4438202247191011	0.0	0.44	0.0	0.0	0.46596858638743455	0.5002785515320334	0.0	0.486810551558753	0.0
p_00000035	0.0	0.0	0.0	0.0	0.0	0.2972972972972973	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000036	0.46975806451612906	0.3727810650887574	0.4445768772348033	0.4594594594594595	0.4625	0.46534653465346537	0.5	0.5	0.48946515397082657	0.4252577319587629	0.3	0.5	0.0	0.0	0.0	0.46997690531177827	0.3877358490566038	0.432183908045977	0.40816326530612246
p_00000037	0.4538878842676311	0.4734428735192969	0.48812351543942994	0.4953271028037383	0.46484375	0.4494949494949495	0.0	0.36	0.4031413612565445	0.45231607629427795	0.0	0.25	0.0	0.0	0.43529411764705883	0.4810126582278481	0.4633879781420765	0.46788990825688076	0.47959183673469385
p_00000038	0.48841354723707664	0.43505338078291816	0.49502487562189057	0.43478260869565216	0.47345132743362833	0.4972972972972973	0.2727272727272727	0.3333333333333333	0.4451901565995526	0.4684931506849315	0.0	0.375	0.0	0.0	0.42857142857142855	0.4702419882275997	0.4485549132947977	0.42280285035629456	0.4482758620689655
p_00000039	0.4982394366197183	0.43569203382287497	0.4993757802746567	0.4424778761061947	0.4642857142857143	0.4972677595628415	0.2727272727272727	0.3333333333333333	0.4408482142857143	0.4657534246575342	0.0	0.375	0.0	0.0	0.4175824175824176	0.4769736842105263	0.45662100456621	0.4292565947242206	0.449438202247191
p_00000040	0.48845470692717585	0.44182948490230906	0.4944237918215613	0.4444444444444444	0.47533632286995514	0.5	0.2727272727272727	0.3333333333333333	0.43905191873589167	0.45604395604395603	0.0	0.375	0.0	0.0	0.43529411764705883	0.47706422018348627	0.43082114735658045	0.4292565947242206	0.43529411764705883
p_00000041	0.46853146853146854	0.4590669014084507	0.4842233009708738	0.4830508474576271	0.5	0.478494623655914	0.2727272727272727	0.3333333333333333	0.4176795580110497	0.4327956989247312	0.0	0.35294117647058826	0.0	0.0	0.4470588235294118	0.4941860465116279	0.44333333333333336	0.4433734939759036	0.4827586206896552
p_00000042	0.3233890214797136	0.39105504587155965	0.42064372918978915	0.3582887700534759	0.3918918918918919	0.46368715083798884	0.0	0.25	0.30652503793626706	0.33902439024390246	0.35714285714285715	0.3333333333333333	0.0	0.0	0.368	0.4499437570303712	0.4973056197074673	0.47890295358649787	0.4322033898305085
p_00000043	0.3137724550898204	0.37321497491316097	0.41721132897603486	0.34615384615384615	0.3713355048859935	0.46842105263157896	0.0	0.0	0.29776119402985074	0.30900243309002434	0.3333333333333333	0.35714285714285715	0.0	0.0	0.35877862595419846	0.4355191256830601	0.48516320474777447	0.48497854077253216	0.47058823529411764
p_00000044	0.0	0.38827361563517915	0.4375	0.3111111111111111	0.38071065989847713	0.48201438848920863	0.0	0.0	0.3219094247246022	0.2825278810408922	0.0	0.4666666666666667	0.0	0.0	0.44642857142857145	0.4738589211618257	0.44226327944572746	0.48355263157894735	0.42696629213483145
p_00000045	0.0	0.37133333333333335	0.4305799648506151	0.3132530120481928	0.36507936507936506	0.47761194029850745	0.0	0.0	0.0	0.28627450980392155	0.0	0.38461538461538464	0.0	0.0	0.46296296296296297	0.479185119574845	0.44348894348894347	0.46996466431095407	0.4418604651162791
p_00000046	0.0	0.4214337436640116	0.4268774703557312	0.3492063492063492	0.3780487804878049	0.4634146341463415	0.0	0.0	0.4809917355371901	0.3004484304932735	0.0	0.3076923076923077	0.0	0.0	0.4807692307692308	0.4865134865134865	0.49592169657422513	0.4830188679245283	0.4444444444444444
p_00000048	0.0	0.2893258426966292	0.0	0.0	0.0	0.3474576271186441	0.0	0.34146341463414637	0.3954285714285714	0.0	0.0	0.36363636363636365	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000049	0.0	0.0	0.49516908212560384	0.0	0.0	0.0	0.0	0.42857142857142855	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000050	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35714285714285715	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2731893265565438	0.0	0.0
p_00000056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4666666666666667	0.0	0.0	0.0	0.4869215291750503	0.0	0.0
p_00000059	0.0	0.4043020193151888	0.0	0.0	0.0	0.3963963963963964	0.0	0.0	0.47410358565737054	0.0	0.0	0.2857142857142857	0.0	0.0	0.0	0.0	0.27320954907161804	0.0	0.0
p_00000064	0.0	0.35224089635854344	0.0	0.0	0.0	0.325	0.0	0.0	0.32696629213483147	0.0	0.0	0.3125	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000068	0.0	0.45219482862297056	0.0	0.39351851851851855	0.0	0.3064516129032258	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.2545454545454545
p_00000071	0.0	0.0	0.0	0.36097560975609755	0.0	0.0	0.0	0.0	0.4381568310428456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000073	0.0	0.33197056418642684	0.25842696629213485	0.4703389830508475	0.0	0.3567567567567568	0.0	0.0	0.3748663101604278	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.3448275862068966
p_00000078	0.0	0.42254273504273504	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.4418604651162791
p_00000081	0.0	0.48767006802721086	0.0	0.0	0.0	0.2786885245901639	0.0	0.0	0.4378444580526638	0.0	0.0	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.31
