corresponding_gene_call	D100_OUT	D11_OUT	D17_OUT	D26_OUT	D27_OUT	D2_OUT	D32_OUT	D34_OUT	D36_OUT	D40_OUT	D42_OUT	D60_OUT	D65_OUT	D71_OUT	D7_OUT	D85_OUT	D87_OUT	D88_OUT	D92_OUT
22282	0.0	9.0	6.0	7.0	0.0	12.0	3.0	0.0	6.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	21.0	0.0	14.0
22283	0.0	3.0	2.0	3.0	0.0	4.0	2.0	1.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	3.0
22284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
22285	0.0	20.0	9.0	11.0	0.0	19.0	6.0	6.0	17.0	0.0	2.0	1.0	0.0	3.0	0.0	0.0	24.0	0.0	19.0
22286	1.0	29.0	15.0	12.0	1.0	24.0	14.0	8.0	27.0	0.0	1.0	0.0	0.0	0.0	4.0	14.0	33.0	0.0	26.0
22287	0.0	17.0	14.0	9.0	0.0	21.0	0.0	1.0	19.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	25.0	0.0	14.0
22288	0.0	2.0	3.0	0.0	0.0	2.0	0.0	0.0	5.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	5.0	0.0	2.0
22289	0.0	2.0	4.0	0.0	0.0	3.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	8.0	0.0	1.0
22290	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	4.0	0.0	0.0
22291	0.0	3.0	1.0	2.0	0.0	2.0	1.0	1.0	6.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	7.0	0.0	2.0
22292	0.0	9.0	6.0	8.0	0.0	8.0	1.0	3.0	15.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	25.0	0.0	7.0
22293	0.0	4.0	1.0	0.0	0.0	5.0	2.0	1.0	6.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	10.0	0.0	3.0
22294	0.0	5.0	4.0	0.0	0.0	5.0	1.0	3.0	5.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	4.0	0.0	4.0
22295	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0
22296	0.0	3.0	4.0	0.0	0.0	6.0	0.0	1.0	5.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	8.0	0.0	5.0
22297	0.0	4.0	4.0	3.0	0.0	3.0	0.0	0.0	5.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	11.0	0.0	3.0
